,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,RSI
0,2020-05-14 09:00:00+07:00,9400.0,33,9433.0,0.0,BUY,28.545351034507448
1,2020-06-04 10:00:00+07:00,10200.0,46,9433.0,721.0,SELL,70.17830167902079
2,2020-07-01 09:00:00+07:00,9600.0,34,9634.0,0.0,BUY,29.302568726879997
3,2020-07-23 09:00:00+07:00,10600.0,48,9634.0,918.0,SELL,74.18059243856337
4,2020-08-11 09:00:00+07:00,12500.0,45,12545.0,0.0,BUY,24.942142392612567
5,2020-10-06 14:00:00+07:00,8600.0,39,12545.0,-3984.0,SELL,73.68972705477427
6,2020-10-22 14:00:00+07:00,7400.0,26,7426.0,0.0,BUY,28.39244333079958
7,2020-11-20 10:00:00+07:00,7000.0,32,7426.0,-458.0,SELL,72.19187587656712
8,2020-12-30 14:00:00+07:00,6700.0,24,6724.0,0.0,BUY,29.52278372745451
9,2021-01-13 14:00:00+07:00,7300.0,33,6724.0,543.0,SELL,75.36809548954537
10,2021-01-25 09:00:00+07:00,6300.0,22,6322.0,0.0,BUY,29.229324559297467
11,2021-02-16 14:00:00+07:00,6600.0,30,6322.0,248.0,SELL,75.73766766306437
12,2021-03-25 10:00:00+07:00,7600.0,27,7627.0,0.0,BUY,29.78560244187274
13,2021-04-08 09:00:00+07:00,8400.0,38,7627.0,735.0,SELL,70.33841896907681
14,2021-04-23 09:00:00+07:00,8200.0,29,8229.0,0.0,BUY,25.920418560901567
15,2021-05-27 14:00:00+07:00,8800.0,40,8229.0,531.0,SELL,74.88547900379398
16,2021-06-29 10:00:00+07:00,11800.0,42,11842.0,0.0,BUY,25.97647889191876
17,2021-07-26 10:00:00+07:00,12100.0,55,11842.0,203.0,SELL,72.32999876414434
18,2021-08-16 09:00:00+07:00,13400.0,48,13448.0,0.0,BUY,25.197514370495384
19,2021-09-16 11:00:00+07:00,12500.0,57,13448.0,-1005.0,SELL,71.66107330940945
20,2021-09-27 13:00:00+07:00,11300.0,40,11340.0,0.0,BUY,28.005325383457418
21,2021-10-26 13:00:00+07:00,9700.0,44,11340.0,-1684.0,SELL,71.6599685002678
22,2021-11-16 10:00:00+07:00,10500.0,37,10537.0,0.0,BUY,28.46806976360152
23,2021-12-10 15:00:00+07:00,9300.0,42,10537.0,-1279.0,SELL,72.1390150039582
24,2022-01-25 14:00:00+07:00,8000.0,28,8028.0,0.0,BUY,26.369705998221306
25,2022-03-30 14:00:00+07:00,7800.0,35,8028.0,-263.0,SELL,70.53837978788587
