,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF
0,2020-04-24 10:00:00+07:00,10200.0,36,10236.0,0.0,BUY,0.07971739283097976
1,2020-04-27 09:00:00+07:00,10000.0,46,10236.0,-282.0,SELL,-0.010910971325872243
2,2020-04-29 10:00:00+07:00,10400.0,37,10437.0,0.0,BUY,0.1503527988053587
3,2020-05-06 10:00:00+07:00,10000.0,46,10437.0,-483.0,SELL,-0.04734459301858731
4,2020-05-15 15:00:00+07:00,9700.0,34,9734.0,0.0,BUY,0.01986757423217841
5,2020-05-18 10:00:00+07:00,10100.0,46,9734.0,320.0,SELL,-0.003711963436564879
6,2020-05-18 11:00:00+07:00,10300.0,37,10337.0,0.0,BUY,0.06041334897730144
7,2020-05-26 14:00:00+07:00,9800.0,45,10337.0,-582.0,SELL,-0.0016732313656640679
8,2020-05-26 15:00:00+07:00,9900.0,35,9935.0,0.0,BUY,0.15450829268429472
9,2020-06-03 10:00:00+07:00,9800.0,45,9935.0,-180.0,SELL,-0.05664867100926281
10,2020-06-03 14:00:00+07:00,9800.0,35,9835.0,0.0,BUY,0.07935562944218248
11,2020-06-15 09:00:00+07:00,10200.0,46,9835.0,319.0,SELL,-0.1425493203573231
12,2020-06-18 11:00:00+07:00,10500.0,37,10537.0,0.0,BUY,0.09326627685574737
13,2020-06-24 14:00:00+07:00,10100.0,46,10537.0,-483.0,SELL,-0.001156730770397467
14,2020-06-24 15:00:00+07:00,10100.0,36,10136.0,0.0,BUY,0.019242703958647543
15,2020-06-25 10:00:00+07:00,9900.0,45,10136.0,-281.0,SELL,-0.2581424882509596
16,2020-06-29 09:00:00+07:00,10000.0,36,10036.0,0.0,BUY,0.020444500827550907
17,2020-06-29 15:00:00+07:00,9900.0,45,10036.0,-181.0,SELL,-0.007483406318190878
18,2020-06-30 09:00:00+07:00,9800.0,35,9835.0,0.0,BUY,0.06317290209228965
19,2020-06-30 10:00:00+07:00,9800.0,45,9835.0,-80.0,SELL,-0.05947170081545324
20,2020-07-03 11:00:00+07:00,10000.0,36,10036.0,0.0,BUY,0.027037444705198282
21,2020-07-03 14:00:00+07:00,10000.0,46,10036.0,-82.0,SELL,-0.0015255863721016815
22,2020-07-03 15:00:00+07:00,10000.0,36,10036.0,0.0,BUY,0.10306775570502089
23,2020-07-08 14:00:00+07:00,9800.0,45,10036.0,-281.0,SELL,-0.02123629616287164
24,2020-07-14 14:00:00+07:00,9800.0,35,9835.0,0.0,BUY,0.055023015569184
25,2020-07-16 10:00:00+07:00,9700.0,44,9835.0,-179.0,SELL,-0.022514482214475356
26,2020-07-16 11:00:00+07:00,9800.0,35,9835.0,0.0,BUY,0.016366539835514567
27,2020-07-20 13:00:00+07:00,9700.0,44,9835.0,-179.0,SELL,-0.12339897534422013
28,2020-07-21 14:00:00+07:00,9900.0,35,9935.0,0.0,BUY,0.25762534048079855
29,2020-07-30 09:00:00+07:00,14500.0,66,9935.0,4499.0,SELL,-0.0012210925812389747
30,2020-08-03 09:00:00+07:00,13300.0,47,13347.0,0.0,BUY,0.027795320225794944
31,2020-08-05 10:00:00+07:00,13900.0,63,13347.0,490.0,SELL,-0.062184177727711475
