,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,DC_hband,DC_mband,DC_lband
0,2020-04-29 10:00:00+07:00,10400.0,37,10437.0,0.0,BUY,106.0,101.5,97.0
1,2020-05-04 09:00:00+07:00,10400.0,47,10437.0,-84.0,SELL,109.0,104.0,99.0
2,2020-05-06 10:00:00+07:00,10000.0,36,10036.0,0.0,BUY,109.0,104.5,100.0
3,2020-05-12 11:00:00+07:00,10200.0,46,10036.0,118.0,SELL,108.0,103.5,99.0
4,2020-05-13 10:00:00+07:00,9600.0,34,9634.0,0.0,BUY,108.0,102.0,96.0
5,2020-05-18 11:00:00+07:00,10300.0,47,9634.0,619.0,SELL,103.0,95.5,88.0
6,2020-05-29 14:00:00+07:00,9600.0,34,9634.0,0.0,BUY,101.0,98.5,96.0
7,2020-06-02 13:00:00+07:00,9700.0,44,9634.0,22.0,SELL,100.0,97.5,95.0
8,2020-06-03 09:00:00+07:00,9700.0,34,9734.0,0.0,BUY,100.0,97.5,95.0
9,2020-06-04 14:00:00+07:00,9900.0,45,9734.0,121.0,SELL,103.0,99.0,95.0
10,2020-06-05 13:00:00+07:00,10000.0,36,10036.0,0.0,BUY,103.0,99.5,96.0
11,2020-06-08 11:00:00+07:00,10300.0,47,10036.0,217.0,SELL,103.0,99.5,96.0
12,2020-06-09 09:00:00+07:00,11300.0,40,11340.0,0.0,BUY,118.0,107.5,97.0
13,2020-06-09 13:00:00+07:00,10700.0,49,11340.0,-689.0,SELL,118.0,108.0,98.0
14,2020-06-09 14:00:00+07:00,11200.0,40,11240.0,0.0,BUY,118.0,108.0,98.0
15,2020-06-10 09:00:00+07:00,10900.0,50,11240.0,-390.0,SELL,118.0,108.0,98.0
16,2020-06-16 09:00:00+07:00,9900.0,35,9935.0,0.0,BUY,106.0,99.5,93.0
17,2020-07-01 09:00:00+07:00,9600.0,44,9935.0,-379.0,SELL,102.0,98.0,94.0
18,2020-07-02 13:00:00+07:00,9800.0,35,9835.0,0.0,BUY,101.0,97.5,94.0
19,2020-07-03 11:00:00+07:00,10000.0,46,9835.0,119.0,SELL,100.0,97.0,94.0
20,2020-07-06 13:00:00+07:00,10100.0,36,10136.0,0.0,BUY,104.0,99.5,95.0
21,2020-07-07 09:00:00+07:00,9900.0,45,10136.0,-281.0,SELL,104.0,100.0,96.0
22,2020-07-08 15:00:00+07:00,9700.0,34,9734.0,0.0,BUY,104.0,100.5,97.0
23,2020-07-13 13:00:00+07:00,9700.0,44,9734.0,-78.0,SELL,99.0,97.5,96.0
24,2020-07-14 09:00:00+07:00,9600.0,34,9634.0,0.0,BUY,99.0,97.5,96.0
25,2020-07-15 13:00:00+07:00,9700.0,44,9634.0,22.0,SELL,99.0,97.5,96.0
26,2020-07-16 11:00:00+07:00,9800.0,35,9835.0,0.0,BUY,99.0,97.5,96.0
27,2020-07-17 10:00:00+07:00,9700.0,44,9835.0,-179.0,SELL,99.0,97.5,96.0
28,2020-07-17 11:00:00+07:00,9800.0,35,9835.0,0.0,BUY,99.0,97.5,96.0
29,2020-07-20 09:00:00+07:00,9700.0,44,9835.0,-179.0,SELL,99.0,97.5,96.0
30,2020-07-20 11:00:00+07:00,9600.0,34,9634.0,0.0,BUY,99.0,97.5,96.0
31,2020-07-22 09:00:00+07:00,9700.0,44,9634.0,22.0,SELL,100.0,97.5,95.0
32,2020-07-22 10:00:00+07:00,9800.0,35,9835.0,0.0,BUY,100.0,97.5,95.0
33,2020-07-22 13:00:00+07:00,9800.0,45,9835.0,-80.0,SELL,100.0,97.5,95.0
34,2020-07-23 09:00:00+07:00,10600.0,38,10638.0,0.0,BUY,108.0,101.5,95.0
35,2020-07-24 14:00:00+07:00,13900.0,63,10638.0,3199.0,SELL,139.0,117.0,95.0
36,2020-07-29 09:00:00+07:00,14100.0,50,14150.0,0.0,BUY,168.0,135.5,103.0
37,2020-07-30 09:00:00+07:00,14500.0,66,14150.0,284.0,SELL,168.0,146.0,124.0
38,2020-08-03 09:00:00+07:00,13300.0,47,13347.0,0.0,BUY,157.0,145.0,133.0
39,2020-08-07 11:00:00+07:00,14200.0,65,13347.0,788.0,SELL,152.0,141.0,130.0
40,2020-08-10 10:00:00+07:00,13300.0,47,13347.0,0.0,BUY,152.0,142.5,133.0
41,2020-09-02 13:00:00+07:00,9200.0,42,13347.0,-4189.0,SELL,98.0,93.0,88.0
42,2020-09-03 11:00:00+07:00,9200.0,33,9233.0,0.0,BUY,96.0,92.5,89.0
43,2020-09-04 10:00:00+07:00,9100.0,41,9233.0,-174.0,SELL,96.0,92.5,89.0
44,2020-09-08 10:00:00+07:00,8900.0,32,8932.0,0.0,BUY,94.0,91.5,89.0
45,2020-09-08 14:00:00+07:00,8700.0,40,8932.0,-272.0,SELL,93.0,89.5,86.0
46,2020-09-09 10:00:00+07:00,8500.0,30,8530.0,0.0,BUY,93.0,89.0,85.0
47,2020-09-29 14:00:00+07:00,7600.0,34,8530.0,-964.0,SELL,81.0,75.5,70.0
48,2020-09-30 09:00:00+07:00,7600.0,27,7627.0,0.0,BUY,81.0,75.5,70.0
49,2020-09-30 10:00:00+07:00,7500.0,34,7627.0,-161.0,SELL,81.0,75.5,70.0
50,2020-10-01 09:00:00+07:00,7900.0,28,7928.0,0.0,BUY,82.0,78.0,74.0
51,2020-10-01 10:00:00+07:00,7800.0,35,7928.0,-163.0,SELL,82.0,78.0,74.0
52,2020-10-06 09:00:00+07:00,7800.0,28,7828.0,0.0,BUY,83.0,78.5,74.0
53,2020-10-06 11:00:00+07:00,8000.0,36,7828.0,136.0,SELL,83.0,80.0,77.0
54,2020-10-06 14:00:00+07:00,8600.0,30,8630.0,0.0,BUY,86.0,81.5,77.0
55,2020-10-06 15:00:00+07:00,8700.0,40,8630.0,30.0,SELL,87.0,82.0,77.0
56,2020-10-13 10:00:00+07:00,8000.0,28,8028.0,0.0,BUY,87.0,83.5,80.0
57,2020-10-14 14:00:00+07:00,8400.0,38,8028.0,334.0,SELL,87.0,83.5,80.0
58,2020-10-15 13:00:00+07:00,8400.0,30,8430.0,0.0,BUY,87.0,83.5,80.0
59,2020-10-19 13:00:00+07:00,8300.0,38,8430.0,-168.0,SELL,87.0,84.5,82.0
60,2020-10-22 14:00:00+07:00,7400.0,26,7426.0,0.0,BUY,85.0,79.5,74.0
61,2020-11-04 10:00:00+07:00,6800.0,31,7426.0,-657.0,SELL,71.0,68.5,66.0
62,2020-11-09 13:00:00+07:00,6200.0,22,6222.0,0.0,BUY,69.0,65.5,62.0
63,2020-11-11 15:00:00+07:00,6900.0,31,6222.0,647.0,SELL,69.0,65.0,61.0
64,2020-11-13 14:00:00+07:00,6100.0,21,6121.0,0.0,BUY,70.0,65.5,61.0
65,2020-11-17 09:00:00+07:00,6200.0,28,6121.0,51.0,SELL,70.0,64.5,59.0
66,2020-11-17 13:00:00+07:00,6400.0,23,6423.0,0.0,BUY,67.0,63.0,59.0
67,2020-11-20 10:00:00+07:00,7000.0,32,6423.0,545.0,SELL,70.0,65.5,61.0
68,2020-11-25 10:00:00+07:00,7300.0,26,7326.0,0.0,BUY,77.0,70.5,64.0
