,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,MACD_line,MACD_histogram,MACD_signal
44,2021-04-22 13:00:00+07:00,8800.0,31,8831.0,0.0,BUY,-0.16032068120853182,-0.4628807767474846,0.3025600955389528
45,2021-04-29 09:00:00+07:00,8600.0,39,8831.0,-270.0,SELL,0.07555258313227853,0.596153749512868,-0.5206011663805895
46,2021-04-30 11:00:00+07:00,8300.0,29,8329.0,0.0,BUY,-0.13281834816716298,-0.09514515426764826,-0.03767319389951472
47,2021-05-05 10:00:00+07:00,8500.0,39,8329.0,132.0,SELL,0.011657057644939073,0.2604776685534561,-0.24882061090851704
48,2021-05-07 13:00:00+07:00,8300.0,29,8329.0,0.0,BUY,-0.08450437801047883,-0.24261867577297938,0.15811429776250055
49,2021-05-20 10:00:00+07:00,8300.0,38,8329.0,-67.0,SELL,0.11381100691392021,0.7475510203512878,-0.6337400134373676
50,2021-06-08 10:00:00+07:00,8500.0,30,8530.0,0.0,BUY,-0.2011912569466574,-0.45448715283559404,0.25329589588893664
51,2021-06-14 10:00:00+07:00,9000.0,41,8530.0,429.0,SELL,0.13800288776694458,0.6271961076009649,-0.48919321983402037
52,2021-06-28 14:00:00+07:00,12200.0,43,12243.0,0.0,BUY,-0.21197497978664614,-1.6956058057427732,1.483630825956127
53,2021-07-05 15:00:00+07:00,12300.0,56,12243.0,1.0,SELL,0.22649204167422,1.1457587770753412,-0.9192667354011212
54,2021-07-07 10:00:00+07:00,11800.0,42,11842.0,0.0,BUY,-0.3843407180453653,-0.07822780425993625,-0.30611291378542904
55,2021-07-15 15:00:00+07:00,11800.0,54,11842.0,-96.0,SELL,0.2708440817739586,1.365365736583472,-1.0945216548095134
56,2021-07-19 09:00:00+07:00,11200.0,40,11240.0,0.0,BUY,-0.09841518524353887,-0.016933976201035927,-0.08148120904250294
57,2021-07-23 09:00:00+07:00,11800.0,54,11240.0,506.0,SELL,0.23764113280643073,0.45284265822073383,-0.2152015254143031
58,2021-08-06 11:00:00+07:00,14900.0,53,14953.0,0.0,BUY,-0.06480364473330269,-1.5947590333139439,1.5299553885806412
59,2021-08-09 14:00:00+07:00,15500.0,71,14953.0,476.0,SELL,0.8310302572594992,0.04075484408593244,0.7902754131735668
60,2021-08-10 10:00:00+07:00,14600.0,52,14652.0,0.0,BUY,-0.074259531454544,-0.6537654385873534,0.5795059071328094
61,2021-08-25 09:00:00+07:00,13200.0,60,14652.0,-1512.0,SELL,0.15535722912252936,0.6648406735248209,-0.5094834444022915
62,2021-08-27 10:00:00+07:00,12500.0,45,12545.0,0.0,BUY,-0.361214855103384,-0.8736791357110958,0.5124642806077118
63,2021-08-31 15:00:00+07:00,13400.0,61,12545.0,794.0,SELL,0.17633996297055887,0.4698768050603762,-0.29353684208981734
64,2021-09-01 13:00:00+07:00,12600.0,45,12645.0,0.0,BUY,-0.3233911418934383,-0.15761329134707486,-0.16577785054636346
65,2021-09-16 09:00:00+07:00,12100.0,55,12645.0,-600.0,SELL,0.18176193286521425,0.6449753743962501,-0.4632134415310358
66,2021-09-22 14:00:00+07:00,11900.0,42,11942.0,0.0,BUY,-0.24968935363324363,-0.5042179194663241,0.2545285658330804
67,2021-10-26 10:00:00+07:00,9400.0,43,11942.0,-2585.0,SELL,0.15815918963343734,1.4281318573509554,-1.269972667717518
68,2021-11-15 10:00:00+07:00,10900.0,39,10939.0,0.0,BUY,-0.16695437521541123,-0.657391315249907,0.4904369400344958
69,2021-12-10 13:00:00+07:00,9100.0,41,10939.0,-1880.0,SELL,0.022857230217780966,0.5193640798315029,-0.49650684961372193
70,2021-12-16 11:00:00+07:00,8700.0,31,8731.0,0.0,BUY,-0.15806623958884813,-0.3438470325147033,0.18578079292585517
71,2021-12-27 10:00:00+07:00,8700.0,40,8731.0,-71.0,SELL,0.041901667351424976,0.24709063954904448,-0.2051889721976195
72,2022-01-06 09:00:00+07:00,8600.0,30,8630.0,0.0,BUY,-0.05309003385173128,-0.4063244908598565,0.3532344570081252
73,2022-01-12 14:00:00+07:00,8800.0,40,8630.0,130.0,SELL,0.07285407591827209,0.4016052678033124,-0.3287511918850403
74,2022-01-18 13:00:00+07:00,8800.0,31,8831.0,0.0,BUY,-0.01961327639638455,-0.7050241037576463,0.6854108273612618
75,2022-02-03 10:00:00+07:00,8200.0,37,8831.0,-668.0,SELL,0.004774070742740832,0.19799789366365214,-0.1932238229209113
76,2022-02-03 14:00:00+07:00,7900.0,28,7928.0,0.0,BUY,-0.30758568680285236,-0.10992592658876049,-0.19765976021409187
77,2022-02-07 10:00:00+07:00,8400.0,38,7928.0,434.0,SELL,0.05643725059772464,0.31919450628461515,-0.2627572556868905
78,2022-02-14 13:00:00+07:00,8300.0,29,8329.0,0.0,BUY,-0.018787498508658018,-0.5418908583435404,0.5231033598348824
79,2022-02-17 11:00:00+07:00,8500.0,39,8329.0,132.0,SELL,0.0270605707717948,0.1276829624810225,-0.10062239170922771
80,2022-02-17 15:00:00+07:00,8300.0,29,8329.0,0.0,BUY,-0.0657432321796847,-0.006693752728135896,-0.0590494794515488
81,2022-03-01 15:00:00+07:00,8100.0,37,8329.0,-266.0,SELL,0.011176718717365475,0.37289199092252706,-0.3617152722051616
82,2022-03-04 10:00:00+07:00,7900.0,28,7928.0,0.0,BUY,-0.24022222889765033,-0.06629558262564603,-0.1739266462720043
83,2022-03-10 11:00:00+07:00,8000.0,36,7928.0,36.0,SELL,0.0537031057634465,0.4428019391731588,-0.3890988334097123
84,2022-03-18 11:00:00+07:00,7900.0,28,7928.0,0.0,BUY,-0.07274749481118192,-0.21515645471514316,0.14240895990396124
85,2022-03-30 11:00:00+07:00,7500.0,34,7928.0,-462.0,SELL,0.056022710592486646,0.7019023717379369,-0.6458796611454503
