,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,RSI
0,2020-04-24 09:00:00+07:00,17300.0,62,17362.0,0.0,BUY,16.218650253406793
1,2020-06-02 13:00:00+07:00,14700.0,67,17362.0,-2729.0,SELL,70.12793461333897
2,2020-07-01 10:00:00+07:00,16700.0,60,16760.0,0.0,BUY,28.790775475749427
3,2020-07-08 13:00:00+07:00,17900.0,82,16760.0,1058.0,SELL,75.900138992976
4,2020-08-03 09:00:00+07:00,20600.0,74,20674.0,0.0,BUY,24.381801783670397
5,2020-08-18 10:00:00+07:00,25200.0,115,20674.0,4411.0,SELL,78.04963124864744
6,2020-09-01 11:00:00+07:00,22200.0,79,22279.0,0.0,BUY,27.627032852865653
7,2020-10-05 10:00:00+07:00,22000.0,101,22279.0,-380.0,SELL,70.54264278120324
8,2020-10-22 15:00:00+07:00,22000.0,79,22079.0,0.0,BUY,25.701144196511876
9,2020-11-10 11:00:00+07:00,23600.0,108,22079.0,1413.0,SELL,74.42023984263645
10,2020-12-03 09:00:00+07:00,25000.0,90,25090.0,0.0,BUY,29.5645923180534
11,2021-02-09 10:00:00+07:00,23400.0,107,25090.0,-1797.0,SELL,71.30299618622773
12,2021-03-24 14:00:00+07:00,23800.0,85,23885.0,0.0,BUY,27.103555033418516
13,2021-06-03 09:00:00+07:00,22200.0,102,23885.0,-1787.0,SELL,71.71862796821941
14,2021-06-28 13:00:00+07:00,19500.0,70,19570.0,0.0,BUY,29.52956545783121
15,2021-07-07 10:00:00+07:00,19900.0,91,19570.0,239.0,SELL,70.56901993712266
16,2021-08-10 09:00:00+07:00,18800.0,67,18867.0,0.0,BUY,29.554062118807593
17,2021-08-30 10:00:00+07:00,18600.0,85,18867.0,-352.0,SELL,70.52357090005597
18,2021-09-21 09:00:00+07:00,18900.0,68,18968.0,0.0,BUY,28.078302740345322
19,2021-10-01 10:00:00+07:00,19700.0,90,18968.0,642.0,SELL,71.80135285832014
20,2021-11-29 09:00:00+07:00,21400.0,77,21477.0,0.0,BUY,27.485074653235955
21,2022-01-04 09:00:00+07:00,19600.0,90,21477.0,-1967.0,SELL,79.20335666566098
22,2022-01-18 14:00:00+07:00,19100.0,68,19168.0,0.0,BUY,29.26389514134685
23,2022-02-10 09:00:00+07:00,19600.0,90,19168.0,342.0,SELL,73.27696137582619
24,2022-02-24 13:00:00+07:00,19000.0,68,19068.0,0.0,BUY,28.690042887145154
